status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
176946929155772_552374614946333,"A venit, definitiv, toamna",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/552374614946333/?type=3,2016-10-08 10:10:58,4912,205,82,4808,72,19,1,5,7
176946929155772_552110624972732,,Adrian Nastase's cover photo,photo,https://www.facebook.com/Nastase.Adrian/photos/a.176947005822431.1073741825.176946929155772/552110591639402/?type=3,2016-10-07 17:14:23,1533,43,17,1496,27,8,0,1,1
176946929155772_551370445046750,,"Desemnarea ""delfinului"" in republică",link,http://www.adriannastase.ro/2016/10/05/desemnarea-delfinului-in-republica/#.V_UhVITX7FI.facebook,2016-10-05 18:51:06,668,25,42,643,12,2,1,2,8
176946929155772_550933551757106,,Deschiderea anului universitar 2016-2017,link,http://www.adriannastase.ro/2016/10/04/deschiderea-anului-universitar-2016-2017/#.V_O87jmzIr0.facebook,2016-10-04 17:30:40,765,10,28,749,13,0,3,0,0
176946929155772_550398558477272,,10 lectii ale istoriei secolului XX,link,http://www.adriannastase.ro/2016/10/03/10-lectii-ale-istoriei-secolului-xx/#.V_HtslYiix8.facebook,2016-10-03 08:33:56,835,21,92,817,16,0,2,0,0
176946929155772_550042438512884,,"Stiati că, anul acesta, a fost achitat Slobodan Milosevic?",link,http://www.adriannastase.ro/2016/10/02/stiati-ca-anul-acesta-a-fost-achitat-slobodan-milosevic/#.V_C_8NRYIXA.facebook,2016-10-02 11:06:31,2813,162,590,2581,14,100,18,87,13
176946929155772_549577545226040,,"Reuniunea internatională ""Penser l'Europe""",link,http://www.adriannastase.ro/2016/10/01/reuniunea-internationala-penser-leurope/#.V-9WvEU7f34.facebook,2016-10-01 09:25:20,731,9,33,720,11,0,0,0,0
176946929155772_548889111961550,"Harry Tavitian

La receptia oferită de Ambasada Armeniei, a fost invitat si cunoscutul pianist, interpret de jazz, Harry Tavitian. A fost, cu adevărat, o sărbătoare. Intre altele, a improvizat o melodie folosind cele două imnuri de stat. Ascultati un fragment:",,video,https://www.facebook.com/Nastase.Adrian/videos/548889111961550/,2016-09-29 12:18:07,503,10,35,485,18,0,0,0,0
176946929155772_548577901992671,,A murit Shimon Peres,link,http://www.adriannastase.ro/2016/09/28/a-murit-shimon-peres/#.V-uTQ7bl-AE.facebook,2016-09-28 12:54:30,752,28,53,539,0,0,0,210,3
176946929155772_548317212018740,,Lansare de carte la Fundatia Titulescu,link,http://www.adriannastase.ro/2016/09/27/lansare-de-carte-la-fundatia-titulescu-4/#.V-qJ7JQe8K8.facebook,2016-09-27 18:02:25,427,8,28,414,11,2,0,0,0
176946929155772_547935715390223,,A 25-a aniversare a independentei Republicii Armenia,link,http://www.adriannastase.ro/2016/09/26/a-25-a-aniversare-a-independentei-republicii-armenia/#.V-khYERIDus.facebook,2016-09-26 16:24:10,394,20,16,387,6,1,0,0,0
176946929155772_547408888776239,,A murit deputatul Niculae Mircovici,link,http://www.adriannastase.ro/2016/09/25/a-murit-deputatul-niculae-mircovici/#.V-eT3ohSY3w.facebook,2016-09-25 12:08:45,520,51,21,352,1,1,3,161,2
176946929155772_547041895479605,,"""Soros(ismul)""",link,http://www.adriannastase.ro/2016/09/24/sorosismul/#.V-ZVRr1LrUk.facebook,2016-09-24 13:28:45,1370,49,232,1313,5,23,22,5,2
176946929155772_546153308901797,,Despre suveranism si guvernare natională,link,http://www.adriannastase.ro/2016/09/22/despre-suveranism-si-guvernare-nationala/#.V-NwJY8RRFk.facebook,2016-09-22 08:47:08,704,17,82,691,10,2,1,0,0
176946929155772_545795818937546,,"""Oraselul artistilor"". In atentia primarului sectorului 1, Dan Tudorache",link,http://www.adriannastase.ro/2016/09/21/oraselul-artistilor-in-atentia-primarului-sectorului-1-dan-tudorache/#.V-IfU2koof8.facebook,2016-09-21 08:50:11,396,9,11,383,12,1,0,0,0
176946929155772_545472785636516,,Calitatea vietii – un indicator care lipseste din programele partidelor,link,http://www.adriannastase.ro/2016/09/20/calitatea-vietii-un-indicator-care-lipseste-din-programele-partidelor/#.V-DwQWD7JIE.facebook,2016-09-20 11:16:29,819,15,53,786,14,1,1,15,2
176946929155772_544739232376538,,Vladimir Socor – Strategia lui Nastase privind Republica Moldova,link,http://www.adriannastase.ro/2016/09/18/vladimir-socor-strategia-lui-nastase-privind-republica-moldova/#.V95z9eid7O0.facebook,2016-09-18 14:01:33,611,21,35,599,9,2,0,0,1
176946929155772_543666682483793,,Despre stramtorile Mării Negre,link,http://www.adriannastase.ro/2016/09/15/despre-stramtorile-marii-negre/#.V9p2Qh8WRV8.facebook,2016-09-15 13:22:23,431,16,31,422,9,0,0,0,0
176946929155772_543277389189389,"Cum a sărbătorit ambasadorul Klemm cei 5 ani de parteneriat strategic româno-american

Mesajele americane indirecte din ultima vreme mi se par ciudate. Ele au vizat principalele ""sensibilităti"" românesti – unirea cu Basarabia si problemele legate de solicitările autonomiste din Ardeal. Mai intâi, ambasadorul american de la Chisinău a făcut afirmatii brutale legate de perspectivele reunificării iar, apoi, in Covasna, ambasadorul Klemm s-a fotografiat cu steagul ""Tării secuilor"". Putem să punem in context si să adăgăm recentul interviu al lui Putin care intreba retoric dacă ar trebui rediscutată situatia (teritoriilor) României si Ungariei, de după război.

In această situatie, cred că ambasadorul Klemm ar trebui invitat la MAE pentru a da explicatii iar ambasadorul român la Washington, George Maior, ar trebui să meargă la Departamentul de Stat pentru a cere explicatii in legătura cu pozitia guvernului american.

Mai există o variantă. S-ar putea  ca Hans Klemm să convoace la ambasadă un număr de oficiali români si să le explice că ""statul de drept"" nu este in mod necesar un stat unitar si independent, conform ""valorilor si principiilor occidentale"".",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/543277389189389/?type=3,2016-09-14 11:00:49,834,111,151,632,4,9,7,26,156
176946929155772_543022415881553,"I se va deschide presedintelui Hollande dosar pentru accident din culpă?

In timpul deplasării prin Bucuresti, un motociclist din coloana oficială a presedintelui Francois Hollande a avut un accident. Acesta a derapat deoarece asfaltul era umed.  Intrebare naivă: i se va deschide presedintelui Frantei un dosar pentru accidentul petrecut? Se va angaja raspunderea sa delictuală si va fi obligat să plătească reparatia la motocicletă?",Timeline Photos,photo,https://www.facebook.com/Nastase.Adrian/photos/a.185528271630971.1073741852.176946929155772/543022415881553/?type=3,2016-09-13 17:58:30,1911,246,238,1606,11,47,223,11,13
